Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell
ENSG00000237683,AL627309.1,-76.796569489406394,0.00067136623027861698,76.796569489408398,0.0041928721174004195
ENSG00000228463,AP006222.2,-47.507671918853248,0.0,47.507671918854641,0.0010482180293501049
ENSG00000235373,RP11-206L10.3,-47.507671918853482,0.0,47.507671918855451,0.0010482180293501049
ENSG00000228327,RP11-206L10.2,6.8960452273603288,0.00033568311513930849,-6.8960452273628627,0.0010482180293501049
ENSG00000237491,RP11-206L10.9,-35.324661427045363,0.00067136623027861698,35.32466142704839,0.0020964360587002098
ENSG00000225880,LINC00115,-75.202091700269946,0.0053709298422289359,75.202091700270699,0.020964360587002098
ENSG00000230368,FAM41C,-47.507671918849574,0.0,47.507671918853404,0.0010482180293501049
ENSG00000188976,NOC2L,-425.34552595937504,0.018462571332661968,425.34552595935099,0.24737945492662475
ENSG00000187961,KLHL17,-72.479967267418672,0.00067136623027861698,72.479967267416455,0.0031446540880503146
ENSG00000187583,PLEKHN1,-66.113178353983017,0.0,66.113178353977474,0.0020964360587002098
ENSG00000188290,HES4,-171.46671116224738,0.001342732460557234,171.46671116225303,0.030398322851153039
ENSG00000187608,ISG15,-361.15639846294334,0.46223564954682778,361.15639846292811,0.79874213836477992
ENSG00000188157,AGRN,-50.580589858708258,0.00033568311513930849,50.580589858713324,0.0020964360587002098
ENSG00000131591,C1orf159,-159.15445670117987,0.0033568311513930849,159.15445670118632,0.037735849056603772
ENSG00000186891,TNFRSF18,-190.32918005846406,0.00033568311513930849,190.32918005847364,0.031446540880503145
ENSG00000186827,TNFRSF4,-201.92309231155994,0.00067136623027861698,201.92309231155502,0.031446540880503145
ENSG00000078808,SDF4,-533.80702528556776,0.036925142665323936,533.80702528551865,0.38155136268343814
ENSG00000176022,B3GALT6,-173.88972356279098,0.0010070493454179255,173.88972356278597,0.026205450733752619
ENSG00000184163,FAM132A,-27.776054411556004,0.0010070493454179255,27.776054411553311,0.0020964360587002098
ENSG00000260179,RP5-902P8.12,-47.507671918853255,0.0,47.507671918855102,0.0020964360587002098
ENSG00000160087,UBE2J2,-441.50997036824913,0.06881503860355824,441.50997036827096,0.44444444444444442
ENSG00000230415,RP5-902P8.10,-47.507671918849574,0.0,47.507671918853404,0.0010482180293501049
ENSG00000162572,SCNN1D,-47.507671918849496,0.0,47.507671918853354,0.0010482180293501049
ENSG00000131584,ACAP3,-186.36186358938565,0.0087277609936220208,186.36186358940139,0.05450733752620545
ENSG00000169972,PUSL1,-200.49232777373837,0.012420275260154415,200.49232777373561,0.075471698113207544
ENSG00000127054,CPSF3L,-417.0964594264081,0.028197381671701913,417.09645942643778,0.24318658280922431
ENSG00000224051,GLTPD1,-175.9258096700429,0.016448472641826115,175.9258096700392,0.071278825995807121
ENSG00000169962,TAS1R3,-47.507671918853497,0.0,47.507671918855031,0.0020964360587002098
ENSG00000107404,DVL1,-117.02183029285244,0.00033568311513930849,117.02183029284504,0.011530398322851153
ENSG00000175756,AURKAIP1,-761.28814783070936,0.16347767707284325,761.28814783067003,1.2306079664570231
ENSG00000221978,CCNL2,-191.6147797146333,0.025847599865726753,191.61477971464004,0.10377358490566038
ENSG00000224870,RP4-758J18.2,-225.58314498660391,0.0050352467270896274,225.58314498659354,0.053459119496855348
ENSG00000242485,MRPL20,-786.56123023542204,0.16884860691507217,786.56123023547661,1.6037735849056605
ENSG00000272455,RP4-758J18.13,-47.507671918853497,0.0,47.507671918855046,0.0010482180293501049
ENSG00000235098,ANKRD65,-31.759759422467191,0.00067136623027861698,31.759759422466693,0.0031446540880503146
ENSG00000225285,RP4-758J18.10,-47.507671918853482,0.0,47.507671918854918,0.0010482180293501049
ENSG00000179403,VWA1,-65.850227531145521,0.0,65.850227531143759,0.0031446540880503146
ENSG00000215915,ATAD3C,-70.496558210894875,0.0,70.496558210893582,0.0031446540880503146
ENSG00000160072,ATAD3B,-238.99132901134337,0.0087277609936220208,238.99132901131742,0.097484276729559755
ENSG00000197785,ATAD3A,-392.01930374136782,0.0070493454179254783,392.0193037413726,0.19077568134171907
ENSG00000160075,SSU72,-660.86161435330018,0.098690835850956699,660.86161435331951,0.80922431865828093
ENSG00000215014,AL645728.1,-63.14228660800147,0.0,63.14228660799963,0.0052410901467505244
ENSG00000228594,C1orf233,-137.06435421525342,0.0,137.06435421525546,0.012578616352201259
ENSG00000272106,RP11-345P4.9,-183.51944690397863,0.0043638804968110104,183.51944690397241,0.03668763102725367
ENSG00000197530,MIB2,-254.96652172972247,0.0057066129573682444,254.96652172973131,0.063941299790356398
ENSG00000189409,MMP23B,-125.80748774729091,0.0,125.80748774728187,0.009433962264150943
ENSG00000248333,CDK11B,-181.18651502687771,0.0070493454179254783,181.18651502686228,0.052410901467505239
ENSG00000272004,RP11-345P4.10,2.3940759207728881,0.002014098690835851,-2.394075920770538,0.0041928721174004195
ENSG00000189339,SLC35E2B,-20.527826635141164,0.0040281973816717019,20.527826635141142,0.0041928721174004195
ENSG00000008128,CDK11A,-178.60014179087733,0.035246727089627394,178.6001417908557,0.11635220125786164
ENSG00000215790,SLC35E2,-47.419140871808537,0.00033568311513930849,47.41914087180615,0.0020964360587002098
ENSG00000008130,NADK,-297.8788050902524,0.0043638804968110104,297.87880509025763,0.077568134171907763
ENSG00000078369,GNB1,-462.97205932851136,0.016784155756965426,462.97205932851705,0.25157232704402516
ENSG00000231050,RP1-140A9.1,32.309529262261549,0.0036925142665323934,-32.309529262268583,0.0010482180293501049
