Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell,Cluster 5 Weight,Cluster 5 UMI counts/cell,Cluster 6 Weight,Cluster 6 UMI counts/cell
ENSG00000237683,AL627309.1,-28.092506911212229,0.0,-51.524021975889042,0.00088066930867459266,-5.7470058611248085,0.0,96.964633536212574,0.010282776349614395,-6.6393980755851887,0.0,-4.9617007123996739,0.0
ENSG00000228463,AP006222.2,-12.550700839254009,0.0,-36.216825420516813,0.0,-2.5675512517406984,0.0,-6.2035865647647412,0.0,59.755369815356396,0.0053763440860215058,-2.2167057390804779,0.0
ENSG00000235373,RP11-206L10.3,-12.55070083925424,0.0,-36.216825420517047,0.0,-2.5675512517407069,0.0,-6.2035865647648727,0.0,59.755369815357049,0.0053763440860215058,-2.2167057390804863,0.0
ENSG00000228327,RP11-206L10.2,47.300379302698289,0.0012706480304955528,-41.86051217385652,0.0,-2.9676540995114533,0.0,-7.1702946876394664,0.0,7.2602178063315108,0.0053763440860215058,-2.562136148025417,0.0
ENSG00000237491,RP11-206L10.9,61.647972514081445,0.0038119440914866584,-70.458655633824776,0.0,-4.9950874315482263,0.0,23.889021577710313,0.0025706940874035988,-5.7707221258880148,0.0,-4.3125289005292125,0.0
ENSG00000225880,LINC00115,43.09601515187461,0.012706480304955527,-98.856194164348722,0.0035226772346983706,-3.5525241620828569,0.0062111801242236021,18.234249295103531,0.010282776349614395,26.302942225382104,0.053763440860215055,14.775511654072073,0.021582733812949641
ENSG00000230368,FAM41C,-12.550700839253897,0.0,-36.216825420513139,0.0,-2.5675512517406269,0.0,-6.2035865647646293,0.0,59.755369815354811,0.0053763440860215058,-2.2167057390804161,0.0
ENSG00000188976,NOC2L,7.2381417454030874,0.078780177890724265,-392.98370586183552,0.0070453544693967413,79.284143700264181,0.2236024844720497,92.469315331622866,0.10539845758354756,130.16090770041419,0.61827956989247312,83.831197384116734,0.15107913669064749
ENSG00000187961,KLHL17,-0.47822696074810123,0.0025412960609911056,-74.596693538526495,0.0,-5.2884489915026052,0.0,91.038810001572088,0.0077120822622107968,-6.1096367231023869,0.0,-4.5658037876947972,0.0
ENSG00000187583,PLEKHN1,-17.4659521196985,0.0,-50.400479369551704,0.0,-3.5730855035215252,0.0,27.085918128882852,0.0025706940874035988,-4.1279124450621349,0.0,48.481511308947397,0.0071942446043165471
ENSG00000188290,HES4,-35.417520511666417,0.0025412960609911056,-141.24186568661148,0.00088066930867459266,-10.58254026329889,0.0,208.60419717941929,0.074550128534704371,-12.225791856978841,0.0,-9.1364788608605334,0.0
ENSG00000187608,ISG15,-56.396537758983158,0.55527318932655656,-317.90813643186414,0.4196389255834434,-1.4179975765702664,0.29192546583850931,298.81977892418433,1.3393316195372751,-15.999019138367581,0.42473118279569894,92.901911981596115,0.73381294964028776
ENSG00000188157,AGRN,2.8798741402504637,0.0012706480304955528,-55.387186925930955,0.0,14.005782714646838,0.0062111801242236021,-9.4872812479912163,0.0,-4.5363349926127787,0.0,52.5251463116401,0.0071942446043165471
ENSG00000131591,C1orf159,37.517461163333351,0.016518424396442185,-171.3148026227197,0.00044033465433729633,13.197091433629272,0.018633540372670808,25.773544370497419,0.012853470437017995,80.530800316691511,0.11290322580645161,14.295905338571929,0.021582733812949641
ENSG00000186891,TNFRSF18,-51.477929381055326,0.0,-144.01866671439242,0.00044033465433729633,27.424466942185294,0.031055900621118012,-25.444618207408062,0.0,-12.166321302256856,0.0,205.68306866293139,0.17985611510791366
ENSG00000186827,TNFRSF4,-42.287262245699935,0.0025412960609911056,-152.84503233575631,0.00088066930867459266,71.888924424617855,0.055900621118012424,-13.018677584576812,0.0051413881748071976,4.8992407434198464,0.016129032258064516,131.36280699799761,0.10071942446043165
ENSG00000078808,SDF4,35.063070778901228,0.13722998729351971,-550.20614972181602,0.009247027741083224,96.556757001742682,0.36024844720496896,226.1910172899172,0.25449871465295631,129.24706673823903,0.87634408602150538,63.148237912984968,0.17985611510791366
ENSG00000176022,B3GALT6,-45.401766770477131,0.0012706480304955528,-133.84451228045197,0.00088066930867459266,23.621219702126801,0.018633540372670808,106.46416007761491,0.02570694087403599,39.528269618752674,0.059139784946236562,9.6326296524316639,0.0071942446043165471
ENSG00000184163,FAM132A,8.2414130342259302,0.0025412960609911056,-38.184018700660218,0.00044033465433729633,-4.415376608044526,0.0,-10.668208077821799,0.0,-5.1009940937657277,0.0,50.127184446065087,0.014388489208633094
ENSG00000260179,RP5-902P8.12,-12.550700839254015,0.0,-36.21682542051682,0.0,-2.5675512517407038,0.0,-6.2035865647647466,0.0,59.755369815356659,0.010752688172043012,-2.2167057390804832,0.0
ENSG00000160087,UBE2J2,131.0236847004528,0.22871664548919948,-524.89408172495325,0.027741083223249668,10.995679920720336,0.13664596273291926,82.141639682887572,0.16709511568123395,232.44496070037368,1.4408602150537635,68.288116720531789,0.22302158273381295
ENSG00000230415,RP5-902P8.10,-12.550700839253897,0.0,-36.216825420513139,0.0,-2.5675512517406269,0.0,-6.2035865647646293,0.0,59.755369815354811,0.0053763440860215058,-2.2167057390804161,0.0
ENSG00000162572,SCNN1D,-12.550700839253819,0.0,-36.216825420513061,0.0,-2.5675512517405883,0.0,56.51802258489888,0.0025706940874035988,-2.9662393343089986,0.0,-2.2167057390803873,0.0
