Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell
ENSG00000237683,AL627309.1,-9.1024005874958114,0.0,-51.488326287310628,0.000881057268722467,88.683233786020381,0.0064412238325281803,-28.092506911212229,0.0
ENSG00000228463,AP006222.2,58.654990707467547,0.0039215686274509803,-36.200877897214077,0.0,-9.9034119709996915,0.0,-12.550700839254009,0.0
ENSG00000235373,RP11-206L10.3,58.654990707468258,0.0039215686274509803,-36.200877897214312,0.0,-9.9034119709999224,0.0,-12.55070083925424,0.0
ENSG00000228327,RP11-206L10.2,5.9883660493980315,0.0039215686274509803,-41.842079539698062,0.0,-11.446665812401305,0.0,47.300379302698289,0.0012706480304955528
ENSG00000237491,RP11-206L10.9,-7.911473882265831,0.0,-70.42763024605118,0.0,16.691131614237054,0.0016103059581320451,61.647972514081445,0.0038119440914866584
ENSG00000225880,LINC00115,29.690795877564675,0.043137254901960784,-98.780755275063228,0.003524229074889868,25.993944245624746,0.011272141706924315,43.09601515187461,0.012706480304955527
ENSG00000230368,FAM41C,58.65499070746602,0.0039215686274509803,-36.200877897210404,0.0,-9.9034119709995796,0.0,-12.550700839253897,0.0
ENSG00000188976,NOC2L,191.71620158045997,0.5725490196078431,-392.78542772585854,0.007048458149779736,195.90937666861129,0.11272141706924316,5.1598494767705994,0.074968233799237616
ENSG00000187961,KLHL17,-8.3761148623177846,0.0,-74.563846029262507,0.0,83.418187852325886,0.004830917874396135,-0.47822696074810123,0.0025412960609911056
ENSG00000187583,PLEKHN1,-5.6592348037142166,0.0,-50.378286291890078,0.0,73.503473215298982,0.0032206119162640902,-17.4659521196985,0.0
ENSG00000188290,HES4,-16.761166255535525,0.0,-141.17613562286428,0.000881057268722467,193.35482239006964,0.046698872785829307,-35.417520511666417,0.0025412960609911056
ENSG00000187608,ISG15,-5.2717030747165596,0.42745098039215684,-317.61112147093422,0.41982378854625552,374.65393833614974,1.0193236714975846,-51.771113790505972,0.56416772554002537
ENSG00000188157,AGRN,11.713226320530659,0.0039215686274509803,-55.362798028121212,0.0,40.769697567342654,0.0016103059581320451,2.8798741402504637,0.0012706480304955528
ENSG00000131591,C1orf159,90.716372207789249,0.090196078431372548,-171.23092824991872,0.0004405286343612335,42.997094878799658,0.014492753623188406,37.517461163333351,0.016518424396442185
ENSG00000186891,TNFRSF18,-16.679634043416627,0.0,-143.9532563848104,0.0004405286343612335,212.11081980928745,0.048309178743961352,-51.477929381055326,0.0
ENSG00000186827,TNFRSF4,0.11620947459203078,0.011764705882352941,-152.77571304200518,0.000881057268722467,194.9467658131141,0.040257648953301126,-42.287262245699935,0.0025412960609911056
ENSG00000078808,SDF4,186.06977684721613,0.78431372549019607,-549.9396820613772,0.0092511013215859032,326.88284022767476,0.23349436392914655,36.987064986451877,0.13722998729351971
ENSG00000176022,B3GALT6,52.909989463405076,0.050980392156862744,-133.77670778060209,0.000881057268722467,126.26848508767063,0.01932367149758454,-45.401766770477131,0.0012706480304955528
ENSG00000184163,FAM132A,-6.9932983543562441,0.0,-38.156594001231369,0.0004405286343612335,36.90847932135997,0.0032206119162640902,8.2414130342259302,0.0025412960609911056
ENSG00000260179,RP5-902P8.12,58.654990707467832,0.0078431372549019607,-36.200877897214085,0.0,-9.9034119709996968,0.0,-12.550700839254015,0.0
ENSG00000160087,UBE2J2,229.63031223194739,1.0862745098039215,-527.97234518348603,0.026872246696035242,171.18422200761785,0.18357487922705315,127.15781094393469,0.22490470139771285
ENSG00000230415,RP5-902P8.10,58.65499070746602,0.0039215686274509803,-36.200877897210404,0.0,-9.9034119709995796,0.0,-12.550700839253897,0.0
ENSG00000162572,SCNN1D,-4.0666184421978127,0.0,-36.200877897210326,0.0,52.818197178664249,0.0016103059581320451,-12.550700839253819,0.0
ENSG00000131584,ACAP3,56.466796010743423,0.10196078431372549,-269.04016570302463,0.0,107.798428076135,0.033816425120772944,104.77494161616264,0.039390088945362133
ENSG00000169972,PUSL1,99.061619105397682,0.16470588235294117,-284.12766271026362,0.0004405286343612335,101.99510566801354,0.045088566827697261,83.070937936855898,0.048284625158831002
ENSG00000127054,CPSF3L,134.87778083684299,0.51764705882352946,-475.56816180613021,0.0044052863436123352,261.21822383348388,0.13687600644122383,79.472157135825356,0.11308767471410419
ENSG00000224051,GLTPD1,59.721739086887332,0.13725490196078433,-262.38459739786288,0.004845814977973568,104.5409205075201,0.041867954911433171,98.12193780345217,0.057179161372299871
ENSG00000169962,TAS1R3,-4.0666184421980347,0.0,-36.200877897214326,0.0,52.818197178666395,0.0032206119162640902,-12.55070083925426,0.0
ENSG00000107404,DVL1,58.337156654093839,0.027450980392156862,-82.744817165836153,0.0004405286343612335,62.455628538479999,0.0064412238325281803,-38.047968026742247,0.0
ENSG00000175756,AURKAIP1,282.53890008574558,2.6313725490196078,-852.18173467248698,0.063876651982378851,414.89596502171997,0.65861513687600648,154.74686956498883,0.55400254129606097
ENSG00000221978,CCNL2,77.893832670729338,0.20392156862745098,-275.32962146147622,0.012334801762114538,75.64742750622581,0.049919484702093397,121.78836128452386,0.082592121982210928
ENSG00000224870,RP4-758J18.2,80.031135377766859,0.10980392156862745,-216.13612676749588,0.001762114537444934,125.86461329159559,0.030595813204508857,10.240378098125259,0.019059720457433291
