Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell,Cluster 5 Weight,Cluster 5 UMI counts/cell,Cluster 6 Weight,Cluster 6 UMI counts/cell,Cluster 7 Weight,Cluster 7 UMI counts/cell
ENSG00000174718,KIAA1551,-231.55308519222021,0.024218405988551298,-7.8697608658141007,0.048275862068965517,158.94162697324518,0.13722998729351971,37.375332874109667,0.061696658097686374,16.653607709546687,0.15591397849462366,24.183975763878269,0.057553956834532377,2.2683027372431273,0.125
ENSG00000151746,BICD1,-96.174692696407718,0.001321003963011889,15.012833440996177,0.013793103448275862,34.579467301769625,0.0050825921219822112,-0.73636445687764596,0.0025706940874035988,56.791500549210788,0.053763440860215055,-8.4949124856664664,0.0,-0.97783165302635322,0.0
ENSG00000139132,FGD4,-157.12125145132384,0.0,20.819644577176295,0.027586206896551724,-42.57361501995215,0.0025412960609911056,202.46762468798318,0.053984575835475578,-12.868583342116571,0.0,-9.6168445406139753,0.0,-1.1069749111498093,0.0
ENSG00000087470,DNM1L,-267.63145609232083,0.0030823425803610744,37.2137859099889,0.055172413793103448,98.080154549201481,0.048284625158831002,1.3600803681905658,0.017994858611825194,118.84816994059511,0.27956989247311825,3.6891189526073762,0.014388489208633094,8.4401463717522915,0.0625
ENSG00000139131,YARS2,-244.09561364273102,0.0022016732716864818,46.073651330082889,0.07586206896551724,1.9054806248923719,0.025412960609911054,-0.97905473865110215,0.017994858611825194,163.3834932082178,0.35483870967741937,24.791543114863469,0.028776978417266189,8.920500103333401,0.0625
ENSG00000139133,ALG10,-136.05827248801469,0.00044033465433729633,66.80796684190426,0.055172413793103448,-1.337389046255127,0.0063532401524777635,-1.9510141162011376,0.0051413881748071976,25.333463043272442,0.043010752688172046,48.213449320834521,0.028776978417266189,-1.0082035555390332,0.0
ENSG00000175548,ALG10B,-100.62488221286108,0.0,46.915751126211134,0.013793103448275862,1.5178524606359951,0.0025412960609911056,15.18886520599141,0.0025706940874035988,43.870249942699608,0.021505376344086023,-6.1588985590436218,0.0,-0.70893796363092165,0.0
ENSG00000139117,CPNE8,-125.50428785327256,0.0,69.059050731437893,0.048275862068965517,-22.297313536183552,0.0012706480304955528,90.422885699560368,0.02056555269922879,-3.1144325240314283,0.0053763440860215058,-7.6816803221511938,0.0,-0.88422219535553193,0.0
ENSG00000257718,RP11-396F22.1,-79.941115287271444,0.0,112.47846503017367,0.027586206896551724,-27.703063730111381,0.0,7.1692015754778744,0.0025706940874035988,-6.5473568663286867,0.0,-4.8929172280628261,0.0,-0.563213493877736,0.0
ENSG00000139116,KIF21A,-111.98122011602025,0.0017613386173491853,0.014799660471667142,0.0068965517241379309,93.278728983991812,0.022871664548919948,-27.998138589904332,0.0,57.841900707818638,0.069892473118279563,-10.004476257060947,0.0,-1.1515943893019838,0.0
ENSG00000151229,SLC2A13,-106.30794808746599,0.001321003963011889,-8.3194970153155019,0.0,-9.7666727879483943,0.0063532401524777635,72.931749189335051,0.012853470437017995,15.387383205728973,0.010752688172043012,36.992998959419872,0.021582733812949641,-0.91801346375895132,0.0
ENSG00000188906,LRRK2,-135.96866362963704,0.0,-8.6813986025084784,0.0,-33.727940759741308,0.0012706480304955528,195.63244876097338,0.041131105398457581,-7.9743300215803314,0.0053763440860215058,-8.3221683155081276,0.0,-0.95794743200093546,0.0
ENSG00000151233,GXYLT1,-184.69229723073809,0.0030823425803610744,36.294063627279897,0.062068965517241378,39.215008279408003,0.022871664548919948,33.105869986238254,0.02570694087403599,69.526362456712803,0.15591397849462366,8.2054022090871523,0.014388489208633094,-1.6544093279911569,0.0
ENSG00000015153,YAF2,-357.75671113163457,0.0088066930867459273,31.470503245952369,0.11724137931034483,83.932072033481205,0.099110546378653117,63.083509286426903,0.079691516709511565,106.16410691872457,0.44623655913978494,70.369013517376004,0.15107913669064749,2.7375061296670364,0.0625
ENSG00000134283,PPHLN1,-594.12440267645911,0.032144429766622636,92.190156263332739,0.57931034482758625,93.458676835786946,0.26175349428208389,103.50058399888206,0.2416452442159383,242.22261444139357,1.9516129032258065,58.517584185019416,0.21582733812949639,4.2347869520428194,0.1875
ENSG00000139168,ZCRB1,-556.8868276741681,0.019815059445178335,126.72698038613868,0.61379310344827587,103.3189753406255,0.23634053367217281,51.266909272689361,0.16195372750642673,147.77190603778266,1.021505376344086,102.71415759137649,0.30935251798561153,25.087899045541846,0.75
ENSG00000139174,PRICKLE1,-51.093150271704786,0.0,44.158000291946585,0.0068965517241379309,-17.705992630485724,0.0,32.31298948063332,0.0025706940874035988,-4.1846437474845004,0.0,-3.1272337682814286,0.0,-0.3599693546223236,0.0
ENSG00000257742,RP11-350F4.2,-113.07266472182832,0.0,-7.2195228466158952,0.0,-15.493066350445712,0.0025412960609911056,1.7729770662163564,0.0025706940874035988,39.625302434494714,0.032258064516129031,95.183611421939929,0.028776978417266189,-0.79663700376451085,0.0
ENSG00000129317,PUS7L,-192.43955984236328,0.00088066930867459266,31.13586689367218,0.041379310344827586,57.302061743333965,0.029224904701397714,7.7546730233045729,0.010282776349614395,69.583374649641641,0.15053763440860216,28.174096186393093,0.028776978417266189,-1.5105126539914469,0.0
ENSG00000198001,IRAK4,-226.14203800853196,0.0022016732716864818,58.643725433708468,0.089655172413793102,42.141401035367181,0.02795425667090216,111.86608056675036,0.059125964010282778,30.920785578906404,0.11827956989247312,-15.63073348556491,0.0,-1.7992211206405602,0.0
ENSG00000151239,TWF1,-188.62932585064414,0.0035226772346983706,39.720754641524074,0.034482758620689655,-9.9399618793435067,0.017789072426937738,11.773618312274387,0.012853470437017995,61.674604946309856,0.12903225806451613,87.054439747364725,0.057553956834532377,-1.6541299174868909,0.0
ENSG00000139173,TMEM117,-83.220544246808188,0.00088066930867459266,16.529168429818437,0.0068965517241379309,-33.566573490218509,0.0012706480304955528,-18.903033697811544,0.0,83.466108726176998,0.048387096774193547,36.472376950221395,0.0071942446043165471,-0.77750267137528095,0.0
