B.cells	(0.0, 0.0, 0.5, 1.0)
Dendritic cells	(0.0, 0.06470588235294118, 1.0, 1.0)
Granulocytes	(0.0, 0.6450980392156863, 1.0, 1.0)
Macrophages	(0.24984187223276405, 1.0, 0.717900063251107, 1.0)
Monocytes	(0.7179000632511068, 1.0, 0.2498418722327641, 1.0)
NK cells	(1.0, 0.7269426289034134, 0.0, 1.0)
T cells	(1.0, 0.18954248366013093, 0.0, 1.0)
Unassigned	(0.5, 0.0, 0.0, 1.0)
