Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell,Cluster 5 Weight,Cluster 5 UMI counts/cell
ENSG00000237683,AL627309.1,-6.8178765184772647,0.0,-51.524021975889042,0.00088066930867459266,96.107937010330616,0.0096852300242130755,-28.199593976947472,0.0,-9.5664445390151975,0.0
ENSG00000228463,AP006222.2,59.675632198842713,0.005235602094240838,-36.216825420516813,0.0,-6.5863271240304258,0.0,-12.59854340916222,0.0,-4.2739362451335818,0.0
ENSG00000235373,RP11-206L10.3,59.675632198843374,0.005235602094240838,-36.216825420517047,0.0,-6.5863271240305785,0.0,-12.598543409162451,0.0,-4.2739362451336058,0.0
ENSG00000228327,RP11-206L10.2,7.1680546355392298,0.005235602094240838,-41.86051217385652,0.0,-7.6126779074424151,0.0,47.245081400222915,0.0012658227848101266,-4.9399459544662667,0.0
ENSG00000237491,RP11-206L10.9,-5.9258490647559725,0.0,-70.458655633824776,0.0,23.144412271144109,0.0024213075060532689,61.554896350760693,0.0037974683544303796,-8.3148039233225113,0.0
ENSG00000225880,LINC00115,25.925747778954637,0.052356020942408377,-98.856194164348722,0.0035226772346983706,16.42371595225169,0.0096852300242130755,42.86969848401813,0.012658227848101266,13.637031949125031,0.014925373134328358
ENSG00000230368,FAM41C,59.675632198841129,0.005235602094240838,-36.216825420513139,0.0,-6.5863271240303138,0.0,-12.598543409162108,0.0,-4.2739362451334699,0.0
ENSG00000188976,NOC2L,130.90958038514941,0.60732984293193715,-392.98370586183552,0.0070453544693967413,92.682736487691898,0.10169491525423729,6.6433073374721836,0.07848101265822785,162.74808165150714,0.20522388059701493
ENSG00000187961,KLHL17,-6.2738742694223433,0.0,-74.596693538526495,0.0,90.250469779236283,0.0072639225181598066,-0.57676948854007626,0.0025316455696202532,-8.8031324827496711,0.0
ENSG00000187583,PLEKHN1,-4.2388778333702568,0.0,-50.400479369551704,0.0,26.553284265003839,0.0024213075060532689,-17.532531352683378,0.0,45.618604290597624,0.0037313432835820895
ENSG00000188290,HES4,-12.554442175714831,0.0,-141.24186568661148,0.00088066930867459266,207.02667564948658,0.070217917675544791,-35.614710702908013,0.0025316455696202532,-17.615657084249122,0.0
ENSG00000187608,ISG15,-14.070443800829421,0.43979057591623039,-317.90813643186414,0.4196389255834434,295.07499063399393,1.2663438256658595,-52.66215867329565,0.5620253164556962,89.565748271990259,0.50373134328358204
ENSG00000188157,AGRN,-4.6582794816615074,0.0,-55.387186925930955,0.0,-10.072614795425135,0.0,2.8067074468212225,0.0012658227848101266,67.311373756198861,0.007462686567164179
ENSG00000131591,C1orf159,80.111428452686553,0.1099476439790576,-171.3148026227197,0.00044033465433729633,23.760559423273691,0.012106537530266344,37.265838044930376,0.016455696202531647,30.176976701832771,0.022388059701492536
ENSG00000186891,TNFRSF18,-12.493372950166984,0.0,-144.01866671439242,0.00044033465433729633,-27.014466117376678,0.0,-51.674160369801413,0.0,235.2006661517419,0.11194029850746269
ENSG00000186827,TNFRSF4,4.5526442746642068,0.015706806282722512,-152.84503233575631,0.00088066930867459266,-14.682340634603879,0.0048426150121065378,-42.495220126953321,0.0025316455696202532,205.46994882265062,0.085820895522388058
ENSG00000078808,SDF4,136.27108992036193,0.87958115183246077,-550.20614972181602,0.009247027741083224,236.20714462020379,0.2566585956416465,36.793631810726474,0.13797468354430381,140.93428337049298,0.26119402985074625
ENSG00000176022,B3GALT6,39.189247119503335,0.057591623036649213,-133.84451228045197,0.00088066930867459266,121.31436592488014,0.026634382566585957,-45.605180270026743,0.0012658227848101266,18.946079506092303,0.011194029850746268
ENSG00000184163,FAM132A,-5.238117590909968,0.0,-38.184018700660218,0.00044033465433729633,-11.326400864114131,0.0,8.1591389359393887,0.0025316455696202532,46.589398219743593,0.007462686567164179
ENSG00000260179,RP5-902P8.12,59.675632198842976,0.010471204188481676,-36.21682542051682,0.0,-6.5863271240304311,0.0,-12.598543409162225,0.0,-4.2739362451335872,0.0
ENSG00000160087,UBE2J2,233.96134105525348,1.4136125654450262,-524.89408172495325,0.027741083223249668,94.239075681199282,0.17433414043583534,130.1128982235183,0.22784810126582278,66.580766764995104,0.16417910447761194
ENSG00000230415,RP5-902P8.10,59.675632198841129,0.005235602094240838,-36.216825420513139,0.0,-6.5863271240303138,0.0,-12.598543409162108,0.0,-4.2739362451334699,0.0
ENSG00000162572,SCNN1D,-3.0459769508226806,0.0,-36.216825420513061,0.0,56.135282025633217,0.0024213075060532689,-12.59854340916203,0.0,-4.2739362451333918,0.0
ENSG00000131584,ACAP3,48.428534320814784,0.12041884816753927,-269.1586855998101,0.0,85.957546086714274,0.038740920096852302,104.41938192580619,0.039240506329113925,30.353223266490886,0.029850746268656716
ENSG00000169972,PUSL1,71.449520698458599,0.18324607329842932,-284.25521670481282,0.00044033465433729633,76.917486008601259,0.050847457627118647,86.939205877376125,0.049367088607594936,48.949004120380458,0.048507462686567165
ENSG00000127054,CPSF3L,114.93643726959645,0.61780104712041883,-475.79227842124664,0.0044033465433729636,141.22616383470935,0.12590799031476999,79.581418265218616,0.11392405063291139,140.0482590517411,0.17164179104477612
ENSG00000224051,GLTPD1,30.876434781708365,0.13089005235602094,-262.51863309245829,0.0048436811977102595,9.4992832948773316,0.021791767554479417,97.719830719665907,0.056962025316455694,124.42308429620236,0.10074626865671642
