Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell
ENSG00000237683,AL627309.1,-76.225438472151765,0.00067499156260546742,88.647538097441966,0.0064308681672025723,-12.422099625288343,0.0
ENSG00000228463,AP006222.2,-47.252511546009487,0.0,-9.9193594943024284,0.0,57.171871040313022,0.0028735632183908046
ENSG00000235373,RP11-206L10.3,-47.252511546009721,0.0,-9.9193594943026593,0.0,57.171871040313775,0.0028735632183908046
ENSG00000228327,RP11-206L10.2,7.1909673738956279,0.00033749578130273371,-11.465098446559761,0.0,4.2741310726616035,0.0028735632183908046
ENSG00000237491,RP11-206L10.9,-34.828255222667906,0.00067499156260546742,45.625090167880117,0.0032154340836012861,-10.796834945209763,0.0
ENSG00000225880,LINC00115,-73.995069471702053,0.0053999325008437394,25.918505356339253,0.011254019292604502,48.076564115363517,0.037356321839080463
ENSG00000230368,FAM41C,-47.252511546005813,0.0,-9.9193594943023164,0.0,57.171871040311551,0.0028735632183908046
ENSG00000188976,NOC2L,-426.90629516047039,0.017887276409044885,195.71109853263434,0.11254019292604502,231.19519662781468,0.48275862068965519
ENSG00000187961,KLHL17,-71.954407119194968,0.00067499156260546742,83.385340343061884,0.0048231511254019296,-11.430933223868973,0.0
ENSG00000187583,PLEKHN1,-65.758089111396998,0.0,73.481280137637356,0.0032154340836012861,-7.7231910262452832,0.0
ENSG00000188290,HES4,-170.41503014229224,0.0013499831252109348,193.28909232632245,0.046623794212218649,-22.874062184025107,0.0
ENSG00000187608,ISG15,-361.94288349632563,0.46101923725953425,378.26597689315491,1.0305466237942122,-16.323093396842815,0.37931034482758619
ENSG00000188157,AGRN,-50.190367493752369,0.00033749578130273371,40.745308669532903,0.0016077170418006431,9.4450588242242297,0.0028735632183908046
ENSG00000131591,C1orf159,-174.85776819687626,0.0023624704691191361,42.913220505998666,0.014469453376205787,131.94454769088787,0.086206896551724144
ENSG00000186891,TNFRSF18,-189.28261478515171,0.00033749578130273371,204.6396017979429,0.046623794212218649,-15.356987012782573,0.0028735632183908046
ENSG00000186827,TNFRSF4,-188.54696167510144,0.0013499831252109348,194.87744651936299,0.040192926045016078,-6.3304848442628616,0.0086206896551724137
ENSG00000078808,SDF4,-532.6894498558803,0.036112048599392509,326.66954600998201,0.2347266881028939,206.01990384585827,0.63505747126436785
ENSG00000176022,B3GALT6,-172.80485156519305,0.0010124873439082012,126.20068058782076,0.019292604501607719,46.604170977367239,0.037356321839080463
ENSG00000184163,FAM132A,-27.337259220694399,0.0010124873439082012,36.881054621931121,0.0032154340836012861,-9.5437954012390644,0.0
ENSG00000260179,RP5-902P8.12,-47.252511546009494,0.0,-9.9193594943024337,0.0,57.171871040313334,0.0057471264367816091
ENSG00000160087,UBE2J2,-444.31761118466306,0.06682416469794128,162.9467022899147,0.17684887459807075,281.37090889476775,0.92241379310344829
ENSG00000230415,RP5-902P8.10,-47.252511546005813,0.0,-9.9193594943023164,0.0,57.171871040311551,0.0028735632183908046
ENSG00000162572,SCNN1D,-47.252511546005735,0.0,52.802249655361514,0.0016077170418006431,-5.5497381093523401,0.0
ENSG00000131584,ACAP3,-192.21262955075611,0.00809989875126561,116.55883163863038,0.035369774919614148,75.653797912139225,0.091954022988505746
ENSG00000169972,PUSL1,-205.35007235920585,0.01181235234559568,101.86755167346431,0.045016077170418008,103.48252068573889,0.13218390804597702
ENSG00000127054,CPSF3L,-413.51059358454523,0.028349645629429633,260.99410721836733,0.13665594855305466,152.51648636620448,0.42241379310344829
ENSG00000224051,GLTPD1,-178.55465910016008,0.01619979750253122,104.40688481292466,0.041800643086816719,74.147774287232821,0.1235632183908046
ENSG00000169962,TAS1R3,-47.252511546009735,0.0,52.802249655363653,0.0032154340836012861,-5.5497381093526448,0.0
ENSG00000107404,DVL1,-116.24830108265179,0.00033749578130273371,62.407282962842459,0.0064308681672025723,53.841018119802804,0.020114942528735632
ENSG00000175756,AURKAIP1,-759.10164082121071,0.16199797502531219,419.54387144089765,0.66077170418006426,339.5577693802764,2.2126436781609193
ENSG00000221978,CCNL2,-188.79474572660584,0.025987175160310495,75.471175381974064,0.049839228295819937,113.32357034463634,0.19540229885057472
ENSG00000224870,RP4-758J18.2,-223.87619067408539,0.0050624367195410058,125.75792864706315,0.030546623794212219,98.118262027011923,0.091954022988505746
ENSG00000242485,MRPL20,-796.08930883544883,0.16166047924400945,341.27177318289756,0.61897106109324762,454.81753565259896,3.3591954022988504
ENSG00000272455,RP4-758J18.13,-47.252511546009735,0.0,52.802249655363667,0.0016077170418006431,-5.5497381093526448,0.0
ENSG00000235098,ANKRD65,-31.335363089924229,0.00067499156260546742,18.129703314108703,0.0032154340836012861,13.20565977581532,0.0028735632183908046
ENSG00000225285,RP4-758J18.10,-47.252511546009721,0.0,52.802249655363525,0.0016077170418006431,-5.5497381093526297,0.0
ENSG00000179403,VWA1,-65.496550578981015,0.0,-13.749191515398389,0.0,79.245742094377277,0.0086206896551724137
ENSG00000215915,ATAD3C,-70.117926142625549,0.0,42.633477582023971,0.0016077170418006431,27.484448560600455,0.0057471264367816091
ENSG00000160072,ATAD3B,-236.98438488050988,0.0087748903138710772,-13.71858570594623,0.011254019292604502,250.70297058643425,0.2471264367816092
ENSG00000197785,ATAD3A,-389.31417455845758,0.0070874114073574083,23.210136116156956,0.027331189710610933,366.10403844230473,0.47413793103448276
